match_id,season_year,round,match_date,league_id,home_club,away_club,home_goals,away_goals,ht_home_goals,ht_away_goals
1,2018,1,2018-08-10,1,Man United,Leicester,2,1,1,0
2,2018,1,2018-08-10,5,Marseille,Toulouse,4,0,1,0
3,2018,2,2018-08-11,1,Bournemouth,Cardiff,2,0,1,0
4,2018,2,2018-08-11,1,Fulham,Crystal Palace,0,2,0,1
5,2018,2,2018-08-11,1,Huddersfield,Chelsea,0,3,0,2
6,2018,2,2018-08-11,1,Newcastle,Tottenham,1,2,1,2
7,2018,2,2018-08-11,1,Watford,Brighton,2,0,1,0
8,2018,2,2018-08-11,1,Wolves,Everton,2,2,1,1
9,2018,2,2018-08-11,5,Angers,Nimes,3,4,1,1
10,2018,2,2018-08-11,5,Lille,Rennes,3,1,1,1
11,2018,2,2018-08-11,5,Montpellier,Dijon,1,2,1,0
12,2018,2,2018-08-11,5,Nantes,Monaco,1,3,0,0
13,2018,2,2018-08-11,5,Nice,Reims,0,1,0,1
14,2018,2,2018-08-11,5,St Etienne,Guingamp,2,1,1,0
15,2018,3,2018-08-12,1,Arsenal,Man City,0,2,0,1
16,2018,3,2018-08-12,1,Liverpool,West Ham,4,0,2,0
17,2018,3,2018-08-12,1,Southampton,Burnley,0,0,0,0
18,2018,3,2018-08-12,5,Bordeaux,Strasbourg,0,2,0,0
19,2018,3,2018-08-12,5,Lyon,Amiens,2,0,1,0
20,2018,3,2018-08-12,5,Paris SG,Caen,3,0,2,0
21,2018,1,2018-08-17,2,Betis,Levante,0,3,0,1
22,2018,1,2018-08-17,2,Girona,Valladolid,0,0,0,0
23,2018,4,2018-08-17,5,Reims,Lyon,1,0,1,0
24,2018,4,2018-08-18,1,Cardiff,Newcastle,0,0,0,0
25,2018,4,2018-08-18,1,Chelsea,Arsenal,3,2,2,2
26,2018,4,2018-08-18,1,Everton,Southampton,2,1,2,0
27,2018,4,2018-08-18,1,Leicester,Wolves,2,0,2,0
28,2018,4,2018-08-18,1,Tottenham,Fulham,3,1,1,0
29,2018,4,2018-08-18,1,West Ham,Bournemouth,1,2,1,0
30,2018,2,2018-08-18,2,Barcelona,Alaves,3,0,0,0
31,2018,2,2018-08-18,2,Celta,Espanol,1,1,0,1
32,2018,2,2018-08-18,2,Villarreal,Sociedad,1,2,1,1
33,2018,1,2018-08-18,3,Chievo,Juventus,2,3,1,1
34,2018,1,2018-08-18,3,Lazio,Napoli,1,2,1,1
35,2018,5,2018-08-18,5,Amiens,Montpellier,1,2,0,0
36,2018,5,2018-08-18,5,Caen,Nice,1,1,0,0
37,2018,5,2018-08-18,5,Dijon,Nantes,2,0,1,0
38,2018,5,2018-08-18,5,Guingamp,Paris SG,1,3,1,0
39,2018,5,2018-08-18,5,Monaco,Lille,0,0,0,0
40,2018,5,2018-08-18,5,Rennes,Angers,1,0,0,0
41,2018,5,2018-08-19,1,Brighton,Man United,3,2,3,1
42,2018,5,2018-08-19,1,Burnley,Watford,1,3,1,1
43,2018,5,2018-08-19,1,Man City,Huddersfield,6,1,3,1
44,2018,3,2018-08-19,2,Eibar,Huesca,1,2,0,2
45,2018,3,2018-08-19,2,Real Madrid,Getafe,2,0,1,0
46,2018,3,2018-08-19,2,Vallecano,Sevilla,1,4,0,3
47,2018,2,2018-08-19,3,Bologna,Spal,0,1,0,0
48,2018,2,2018-08-19,3,Empoli,Cagliari,2,0,1,0
49,2018,2,2018-08-19,3,Parma,Udinese,2,2,1,0
50,2018,2,2018-08-19,3,Sassuolo,Inter,1,0,1,0
51,2018,2,2018-08-19,3,Torino,Roma,0,1,0,0
52,2018,6,2018-08-19,5,Nimes,Marseille,3,1,1,0
53,2018,6,2018-08-19,5,Strasbourg,St Etienne,1,1,0,0
54,2018,6,2018-08-19,5,Toulouse,Bordeaux,2,1,1,0
55,2018,6,2018-08-20,1,Crystal Palace,Liverpool,0,2,0,1
56,2018,4,2018-08-20,2,Ath Bilbao,Leganes,2,1,1,1
57,2018,4,2018-08-20,2,Valencia,Ath Madrid,1,1,0,1
58,2018,3,2018-08-20,3,Atalanta,Frosinone,4,0,1,0
59,2018,5,2018-08-24,2,Getafe,Eibar,2,0,1,0
60,2018,5,2018-08-24,2,Leganes,Sociedad,2,2,0,2
61,2018,1,2018-08-24,4,Bayern Munich,Hoffenheim,3,1,1,0
62,2018,7,2018-08-24,5,Lyon,Strasbourg,2,0,1,0
63,2018,7,2018-08-25,1,Arsenal,West Ham,3,1,1,1
64,2018,7,2018-08-25,1,Bournemouth,Everton,2,2,0,0
65,2018,7,2018-08-25,1,Huddersfield,Cardiff,0,0,0,0
66,2018,7,2018-08-25,1,Liverpool,Brighton,1,0,1,0
67,2018,7,2018-08-25,1,Southampton,Leicester,1,2,0,0
68,2018,7,2018-08-25,1,Wolves,Man City,1,1,0,0
69,2018,6,2018-08-25,2,Alaves,Betis,0,0,0,0
70,2018,6,2018-08-25,2,Ath Madrid,Vallecano,1,0,0,0
71,2018,6,2018-08-25,2,Valladolid,Barcelona,0,1,0,0
